iter	Passed	Remaining
465	758	869
466	759	867
467	761	865
468	762	863
469	764	861
470	765	859
471	767	858
472	768	856
473	769	854
474	771	852
475	772	850
476	774	848
477	775	846
478	777	845
479	778	843
480	780	841
481	781	840
482	783	838
483	784	836
484	786	834
485	787	833
486	789	831
487	790	829
488	792	827
489	793	826
490	795	824
491	796	822
492	798	821
493	800	819
494	802	818
495	803	816
496	805	815
497	807	814
498	809	812
499	810	810
500	812	809
501	814	807
502	815	806
503	817	804
504	819	802
505	821	801
506	823	800
507	825	799
508	827	798
509	829	796
510	830	795
511	832	793
512	834	791
513	835	790
514	837	788
515	838	786
516	840	785
517	841	783
518	843	781
519	845	780
520	846	778
521	848	776
522	849	774
523	850	772
524	852	771
525	854	769
526	855	768
527	857	766
528	858	764
529	860	762
530	861	761
531	862	759
532	864	757
533	866	755
534	868	754
535	870	753
536	871	751
537	873	749
538	874	748
539	875	746
540	877	744
541	878	742
542	880	741
543	881	739
544	883	737
545	884	735
546	886	733
547	887	732
548	888	730
549	890	728
550	891	726
551	893	724
552	894	723
553	895	721
554	897	719
555	899	717
556	900	716
557	901	714
558	903	712
559	904	710
560	906	709
561	907	707
562	909	705
563	910	703
564	912	702
565	913	700
566	915	698
567	916	697
568	918	695
569	920	694
570	921	692
571	922	690
572	924	688
573	926	687
574	927	685
575	929	684
576	930	682
577	932	680
578	933	679
579	935	677
580	936	675
581	938	673
582	939	672
583	941	670
584	942	668
585	943	666
586	945	665
587	946	663
588	948	661
589	949	659
590	950	658
591	952	656
592	954	654
593	955	653
594	956	651
595	958	649
596	960	648
597	961	646
598	962	644
599	964	642
600	966	641
601	967	639
602	969	637
603	970	636
604	972	634
605	973	632
606	974	631
607	976	629
608	978	627
609	979	626
610	981	624
611	982	623
612	984	621
613	986	620
614	987	618
615	989	616
616	991	615
617	993	613
618	994	612
619	996	610
620	998	609
621	999	607
622	1001	606
623	1003	604
624	1004	602
625	1006	601
626	1008	599
627	1009	598
628	1011	596
629	1013	594
630	1014	593
631	1016	591
632	1018	590
633	1020	589
634	1021	587
635	1023	585
636	1025	584
637	1026	582
638	1028	581
639	1030	579
640	1031	577
641	1033	576
642	1034	574
643	1036	572
644	1037	571
645	1039	569
646	1041	567
647	1042	566
648	1044	565
649	1046	563
650	1048	562
651	1049	560
652	1051	558
653	1053	557
654	1055	555
655	1057	554
656	1058	552
657	1060	551
658	1061	549
659	1063	547
660	1065	546
661	1066	544
662	1068	543
663	1070	541
664	1071	539
665	1073	538
666	1075	536
667	1077	535
668	1079	533
669	1080	532
670	1082	530
671	1083	529
672	1085	527
673	1087	525
674	1088	524
675	1090	522
676	1092	521
677	1093	519
678	1095	517
679	1097	516
680	1099	514
681	1100	513
682	1102	511
683	1104	510
684	1106	508
685	1108	507
686	1110	505
687	1111	504
688	1113	502
689	1115	501
690	1117	499
691	1119	498
692	1120	496
693	1122	495
694	1124	493
695	1126	491
696	1128	490
697	1130	488
698	1131	487
699	1133	485
700	1135	484
701	1137	482
702	1138	481
703	1140	479
704	1141	477
705	1142	475
706	1144	474
707	1145	472
708	1146	470
709	1148	469
710	1150	467
711	1151	465
712	1153	464
713	1154	462
714	1156	460
715	1157	459
716	1159	457
717	1160	455
718	1162	454
719	1163	452
720	1165	450
721	1166	449
722	1168	447
723	1169	445
724	1170	444
725	1172	442
726	1173	440
727	1175	439
728	1176	437
729	1177	435
730	1179	433
731	1180	432
732	1182	430
733	1183	429
734	1185	427
735	1186	425
736	1188	424
737	1189	422
738	1191	420
739	1192	418
740	1193	417
741	1195	415
742	1196	413
743	1198	412
744	1199	410
745	1200	408
746	1202	407
747	1204	405
748	1205	403
749	1206	402
750	1210	401
751	1212	399
752	1213	398
753	1215	396
754	1216	394
755	1217	393
756	1219	391
757	1220	389
758	1222	388
759	1223	386
760	1224	384
761	1226	383
762	1227	381
763	1229	379
764	1230	378
765	1231	376
766	1233	374
767	1234	373
768	1236	371
769	1237	369
770	1238	367
771	1240	366
772	1242	364
773	1243	363
774	1245	361
775	1246	359
776	1248	358
777	1249	356
778	1251	354
779	1252	353
780	1253	351
781	1255	350
782	1257	348
783	1259	346
784	1260	345
785	1262	343
786	1263	342
787	1265	340
788	1266	338
789	1267	337
790	1269	335
791	1270	333
792	1272	332
793	1273	330
794	1275	328
795	1276	327
796	1277	325
797	1279	323
798	1280	322
799	1282	320
800	1283	318
801	1285	317
802	1286	315
803	1288	314
804	1289	312
805	1291	310
806	1292	309
807	1294	307
808	1295	305
809	1297	304
810	1298	302
811	1299	300
812	1301	299
813	1302	297
814	1304	296
815	1305	294
816	1307	292
817	1308	291
818	1310	289
819	1311	287
820	1312	286
821	1314	284
822	1315	282
823	1317	281
824	1318	279
825	1320	278
826	1321	276
827	1323	274
828	1324	273
829	1325	271
830	1327	269
831	1328	268
832	1330	266
833	1331	265
834	1333	263
835	1335	261
836	1336	260
837	1338	258
838	1339	257
839	1341	255
840	1342	253
841	1343	252
842	1345	250
843	1346	248
844	1348	247
845	1349	245
846	1351	244
847	1352	242
848	1354	240
849	1355	239
850	1357	237
851	1358	235
852	1359	234
853	1361	232
854	1362	231
855	1364	229
856	1365	227
857	1367	226
858	1368	224
859	1369	223
860	1371	221
861	1372	219
862	1374	218
863	1375	216
864	1376	214
865	1378	213
866	1379	211
867	1381	210
868	1382	208
869	1384	206
870	1385	205
871	1386	203
872	1388	201
873	1389	200
874	1391	198
875	1392	197
876	1394	195
877	1395	193
878	1396	192
879	1397	190
880	1399	189
881	1400	187
882	1402	185
883	1403	184
884	1405	182
885	1406	180
886	1408	179
887	1409	177
888	1411	176
889	1412	174
890	1414	172
891	1415	171
892	1416	169
893	1418	168
894	1419	166
895	1421	164
896	1422	163
897	1423	161
898	1425	160
899	1427	158
900	1428	156
901	1430	155
902	1431	153
903	1433	152
904	1435	150
905	1436	149
906	1438	147
907	1439	145
908	1441	144
909	1442	142
910	1443	141
911	1444	139
912	1446	137
913	1448	136
914	1449	134
915	1451	133
916	1452	131
917	1454	129
918	1455	128
919	1457	126
920	1458	125
921	1460	123
922	1461	121
923	1462	120
924	1464	118
925	1465	117
926	1467	115
927	1468	113
928	1469	112
929	1471	110
930	1472	109
931	1474	107
932	1475	105
933	1477	104
934	1478	102
935	1480	101
936	1482	99
937	1483	98
938	1484	96
939	1486	94
940	1488	93
941	1489	91
942	1490	90
943	1492	88
944	1493	86
945	1495	85
946	1496	83
947	1498	82
948	1499	80
949	1501	79
950	1502	77
951	1504	75
952	1506	74
953	1507	72
954	1509	71
955	1510	69
956	1512	67
957	1513	66
958	1515	64
959	1516	63
960	1518	61
961	1520	60
962	1521	58
963	1523	56
964	1524	55
965	1526	53
966	1527	52
967	1529	50
968	1530	48
969	1532	47
970	1533	45
971	1535	44
972	1536	42
973	1538	41
974	1539	39
975	1541	37
976	1542	36
977	1544	34
978	1545	33
979	1547	31
980	1548	29
981	1550	28
982	1552	26
983	1553	25
984	1555	23
985	1556	22
986	1558	20
987	1559	18
988	1561	17
989	1562	15
990	1564	14
991	1565	12
992	1567	11
993	1568	9
994	1569	7
995	1571	6
996	1573	4
997	1574	3
998	1575	1
999	1577	0
